City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Riyadh,SA,2021-10-12 17:37:06,24.6877,46.7219,86.14,13,0,9.84
67,Victoria,HK,2021-10-12 17:40:00,22.2855,114.1577,75.33,87,100,18.01
68,Saldanha,ZA,2021-10-12 17:40:05,-33.0117,17.9442,64.45,93,99,16.08
69,Kaitangata,NZ,2021-10-12 17:40:06,-46.2817,169.8464,43.92,73,100,16.51
70,Batemans Bay,AU,2021-10-12 17:40:06,-35.7167,150.1833,55.2,88,100,1.57
71,San Patricio,US,2021-10-12 17:40:06,28.017,-97.5169,91.49,50,62,19.17
72,Leningradskiy,RU,2021-10-12 17:40:07,69.3833,178.4167,20.41,96,100,5.77
73,Denpasar,ID,2021-10-12 17:39:06,-8.65,115.2167,74.86,88,20,1.14
74,Razdolinsk,RU,2021-10-12 17:40:08,58.4211,94.6658,22.21,57,100,2.46
75,Tessalit,ML,2021-10-12 17:40:08,20.1986,1.0114,91.9,9,99,9.46
76,Mandalgovi,MN,2021-10-12 17:40:09,45.7625,106.2708,40.19,38,100,8.21
77,Mezen,RU,2021-10-12 17:40:09,65.8522,44.24,39.06,88,62,10.22
78,Kavieng,PG,2021-10-12 17:40:09,-2.5744,150.7967,82.9,73,94,12.15
79,Constitucion,CL,2021-10-12 17:40:10,-35.3333,-72.4167,58.17,68,86,7.61
80,Vytegra,RU,2021-10-12 17:40:11,61.0064,36.4481,45.55,73,100,9.17
81,Husavik,IS,2021-10-12 17:40:11,66.0449,-17.3389,33.71,86,100,6.15
82,Tiksi,RU,2021-10-12 17:40:11,71.6872,128.8694,20.53,94,98,9.86
83,Port Lincoln,AU,2021-10-12 17:40:12,-34.7333,135.8667,51.57,77,78,15.23
84,Lambarene,GA,2021-10-12 17:40:12,-0.7001,10.2406,75.74,95,90,3.33
85,Batagay-Alyta,RU,2021-10-12 17:40:12,67.8006,130.4114,21.24,96,100,4.88
86,Saint George,US,2021-10-12 17:37:13,37.1041,-113.5841,54.63,61,1,5.99
87,Bluff,NZ,2021-10-12 17:40:13,-46.6,168.3333,44.58,72,100,20.49
88,Caravelas,BR,2021-10-12 17:40:13,-17.7125,-39.2481,71.22,83,93,15.43
89,Ossora,RU,2021-10-12 17:40:13,59.2353,163.0719,31.12,82,87,3.65
90,Kodiak,US,2021-10-12 17:36:10,57.79,-152.4072,41.09,75,85,7.31
